Country;First joined;Population[9];System of government;Notes[A]
 Antigua and Barbuda;1 November 1981;94,298;Unitary Commonwealth realm;
 Australia;19 November 1926;26,256,970;Federal Commonwealth realm;Australia was one of the original Dominions at the time of the Balfour Declaration of 1926 and the Statute of Westminster 1931, although the statute was not adopted in Australia until 1942 (with retroactive effect from 1939).[10] The Australia Act 1986 eliminated the remaining possibilities for the UK to legislate with effect in Australia, for the UK to be involved in Australian government, and for an appeal from any Australian court to a British court (Judicial Committee of the Privy Council.[11]
 Bahamas;10 July 1973;412,623;Unitary Commonwealth realm;
 Bangladesh;18 April 1972[12];172,954,319;Unitary Westminster republic;Formerly East Pakistan. Declared independence from Pakistan in 1971.[13]
 Barbados;30 November 1966;281,995;Unitary Westminster republic;Barbados removed Queen Elizabeth II as its head of state and became a republic on 30 November 2021, albeit, without a referendum.[14][15]
 Belize;21 September 1981;410,825;Unitary Commonwealth realm;Formerly British Honduras. Name changed on 1 June 1973 to Colony of Belize.
 Botswana;30 September 1966;2,675,352;Unitary parliamentary republic with an executive presidency;Formerly the Bechuanaland Protectorate.
 Brunei;1 January 1984;452,524;Unitary Islamic absolute monarchy;Formerly a British protected monarchy. Sultan Hassanal Bolkiah is also Prime Minister of Brunei as well as Brunei's Sultan.
 Cameroon;1 November 1995[16];28,647,293;Unitary semi-presidential republic;Most of the country was the formerly French mandate territory (later UN trust territory) of Cameroun, which gained independence from France on 1 January 1960. It united with the much smaller former British mandate/trust territory of Southern Cameroons, which gained independence from the United Kingdom on 1 October 1961.
 Canada;19 November 1926;39,244,168;Federal Commonwealth realm;"Canada was the first among the several original Dominions at the time of the Balfour Declaration of 1926 and the Statute of Westminster 1931.[17] Incorporated another original Dominion, Newfoundland, on 31 March 1949.[18] The Canada Act 1982 formally ended the ""request and consent"" provisions of the Statute of Westminster 1931 in relation to Canada, whereby the British parliament had a general power to pass laws extending to Canada at its own request."
 Cyprus[D];13 March 1961[19];1,260,138;Unitary presidential republic;Gained independence from the United Kingdom on 16 August 1960. Britain retains military bases at Akrotiri and Dhekelia. Northern Cyprus is not recognised by the Commonwealth as an independent state, but as a legitimate part of the Republic of Cyprus.
 Dominica;3 November 1978;73,040;Unitary Westminster republic;Dominica has always been a republic since independence.
 Eswatini;6 September 1968;1,210,822;Unitary absolute monarchy;Joined as the Kingdom of Swaziland, subsequently changing its name to Kingdom of Eswatini on 19 April 2018.
 Fiji[B];10 October 1970;936,375;Unitary Westminster republic;"Was the Dominion of Fiji from 1970 until it was overthrown. Declared to have been expelled in 1987; rejoined in 1997; suspended on 6 June 2000;[20] suspension lifted on 20 December 2001;[21] again suspended on 8 December 2006 because of the 2006 Fijian coup d'état.[22][23] Suspension lifted on 26 September 2014."
