Date;East Midlands;East of England;England;London;North East;North West;Northern Ireland;Scotland;South East;South West;United Kingdom;Wales;West Midlands Region;Yorkshire and The Humber
2000-01-01;58080;84192;75219;130411;47604;51177;66905;51628;104358;81381;84620;52052;63833;50489
2000-02-01;58575;83989;75630;132705;47757;50975;66905;51628;104721;82595;84620;52313;64137;50579
2000-03-01;59228;85921;77016;134286;48678;52419;66905;51628;107765;84214;84620;52352;64648;50735
2000-04-01;60889;89206;79635;140670;49463;53612;67937;51379;111947;86912;89230;53459;66676;52508
2000-05-01;61430;91172;80348;140862;49780;53590;67937;51379;113099;88141;89230;53602;67270;52979
2000-06-01;62425;91593;81269;143542;49003;53453;67937;51379;115640;89406;89230;53437;68165;53615
2000-07-01;63474;93781;82563;146228;50416;54299;68564;51711;116597;91214;90912;54713;68916;54065
2000-08-01;64055;95082;83504;147284;50702;55001;68564;51711;118743;92258;90912;54691;69835;54181
2000-09-01;64880;95568;83590;147316;49432;54916;68564;51711;118166;92647;90912;55447;69754;54845
2000-10-01;63967;94454;83261;145626;49501;55245;74425;51628;118370;92617;93624;54882;69406;54659
2000-11-01;64608;95100;83546;147666;49024;55433;74425;51628;117929;92584;93624;55493;70594;54014
2000-12-01;65237;96195;84191;147483;50362;56079;74425;51628;118983;92016;93624;55425;71234;54709
2001-01-01;65725;96628;84377;149543;49837;55927;81797;54122;118668;92100;93136;54482;71065;55007
2001-02-01;65598;96649;84245;149776;49045;55380;81797;54122;119198;92717;93136;55438;71384;54076
2001-03-01;65928;98009;85242;150941;49587;55698;81797;54122;120770;94674;93136;56080;72689;54612
2001-04-01;67974;99735;87439;152865;51735;57500;75346;52751;123754;97798;96499;56862;74436;56162
2001-05-01;69038;101764;88719;157156;52412;57694;75346;52751;125086;98508;96499;58165;75471;57262
2001-06-01;70033;102969;89980;158760;52266;59276;75346;52751;127693;99762;96499;58758;76019;57846
2001-07-01;70796;105160;91430;161122;53353;60084;79254;54247;129751;102517;99971;60011;76463;58617
2001-08-01;72186;108078;93331;164628;55425;60726;79254;54247;131743;104465;99971;60485;78646;59846
2001-09-01;72637;108535;93682;164820;53720;61271;79254;54247;132693;105619;99971;60603;78671;60055
2001-10-01;73333;109230;94161;166189;54201;61151;72323;54663;134038;106765;97964;59933;78652;59514
2001-11-01;74391;110583;95083;167214;54769;61510;72323;54663;135285;107209;97964;61674;79834;60419
2001-12-01;75378;111665;95992;167693;55879;62331;72323;54663;136468;107601;97964;61414;80779;61131
2002-01-01;75280;112374;96215;169841;54746;61872;73164;53649;137154;108960;97623;61728;80653;60884
2002-02-01;76450;113392;96676;170502;54983;61566;77668;55827;136801;109637;101164;61800;80881;62001
2002-03-01;78292;115809;98962;172749;56509;63660;82173;58004;139425;113298;104705;62346;83416;62928
2002-04-01;80083;120065;101355;178218;58178;64596;83882;58841;141861;115278;106121;64757;85464;64739
2002-05-01;82643;123090;104458;182805;60166;67351;83960;60460;146013;118717;108852;66117;88015;66684
2002-06-01;84539;125088;106811;186038;60958;68494;87144;62861;149123;122468;113304;69416;90683;68931
2002-07-01;88192;129419;110001;191162;63302;70780;86600;63028;153199;126349;114214;69871;92437;70211
2002-08-01;91058;132917;112832;195333;65025;71765;88154;63196;157672;129887;116743;71935;95134;72055
2002-09-01;91480;134094;113914;197045;64455;71768;92037;64536;159843;132198;119576;71827;96813;73005
2002-10-01;93898;137098;115879;199092;66049;72562;88076;63921;162290;135148;120486;72935;98653;73921
2002-11-01;96949;140637;118693;202527;68494;74763;89008;64424;164980;137401;121700;75445;100767;76688
2002-12-01;98179;141858;119982;203437;69491;75567;88930;66769;166939;138960;125747;75309;102749;77357
2003-01-01;100132;144866;121610;207162;67520;76069;91027;64647;169024;141452;124836;77798;104468;78554
2003-02-01;102378;144848;121754;206464;68396;75939;90328;60181;169132;140641;123521;78551;104109;78707
2003-03-01;101518;145968;123258;205573;71926;76959;89396;63698;170871;143651;126152;79272;107284;80085
2003-04-01;106466;149010;126239;207953;75588;80698;94756;67494;172240;145317;129186;82645;108791;82883
2003-05-01;108677;149708;128299;210583;77026;82862;90328;67550;173815;147079;128276;83912;111250;85381
2003-06-01;109587;149449;129353;208941;78789;84244;93513;68611;175525;148955;128579;85523;111828;87165
2003-07-01;111648;153579;132318;213806;82819;87160;90561;71067;177245;151149;130805;88079;114213;89509
2003-08-01;114593;154232;133896;212692;84389;89471;95610;73077;177730;151746;133132;91168;117481;91496
2003-09-01;114575;154002;133848;212901;84723;89616;92814;72854;176384;152814;132727;91939;116867;91827
2003-10-01;116408;155412;135885;214608;87372;91689;95532;75812;179187;154585;135054;92705;118832;93299
2003-11-01;117723;156131;137178;215556;88701;93428;92037;74808;180240;154304;133536;94460;120803;95183
2003-12-01;118022;157713;138985;216971;89552;96223;93901;77097;180699;157032;136167;97720;123394;97392
2004-01-01;119411;159710;139719;218855;90994;95632;96620;79665;182139;158495;136976;98912;122858;96820
2004-02-01;120237;160205;140284;219804;88520;96905;96231;78608;183091;158169;135661;100098;124026;97291
2004-03-01;121241;161608;142571;221324;93021;98505;96231;81490;184545;161520;135964;100993;125958;100959
2004-04-01;125676;165136;147250;225863;99508;104383;99882;86898;186611;165311;142135;107423;129480;106609
2004-05-01;128522;166518;150115;227330;102162;108067;102833;88345;189893;168379;143855;108036;131961;109413
2004-06-01;130950;170031;153527;230156;106437;111344;99493;92640;192250;172331;146384;113693;136181;112733
2004-07-01;133637;172266;156730;233877;110089;115878;103610;94862;194728;175460;149520;117454;138858;114941
2004-08-01;136148;174609;158760;234836;111699;117150;106095;94845;198248;176345;151240;120836;140986;117119
2004-09-01;137141;175391;159243;234134;110489;117771;105163;93354;197736;178524;150937;119393;141105;118563
2004-10-01;136872;175716;159358;232287;112205;118500;108348;95096;197557;178088;152050;120591;142228;118291
2004-11-01;138554;175981;160330;234718;109566;119980;104464;94700;199497;179185;151847;122885;142444;118818
2004-12-01;137765;174955;159886;230185;113511;120191;108969;96976;197794;177553;150734;122005;142696;120378
2005-01-01;135281;175323;158572;232422;111474;118939;111920;93982;195620;175838;150633;123815;140028;118923
2005-02-01;136774;173555;158609;231321;110454;117630;111920;93554;196482;176020;150488;121070;141548;120419
2005-03-01;137121;173743;159642;231263;112596;120919;111920;96638;196494;176376;151723;123052;141930;121650
2005-04-01;138634;174294;161336;235367;115579;123118;116004;102739;197998;177112;153880;124088;143202;122183
2005-05-01;140205;177100;163064;235685;117007;125769;116004;103815;198849;177973;155533;126541;144167;124992
2005-06-01;139707;178067;164069;235899;118615;127557;116004;107989;199220;178555;156767;127477;146219;126353
2005-07-01;141437;179281;165756;237872;121318;128994;123386;110003;200336;180979;158786;130529;147649;127946
2005-08-01;142518;178969;166440;237971;123066;130263;123386;110101;200950;180356;159431;131874;148529;129053
2005-09-01;141382;179366;166168;236916;121255;130291;123386;110188;201181;180846;159183;131307;147680;129295
2005-10-01;142601;178385;165637;234298;121647;129915;127674;109598;199322;180883;158865;131511;147573;129477
