date,Walking,Retail & Recreation,Parks,High Streets
27/02/2020,123.88,100,104,96.04258093
28/02/2020,133.76,98,91,93.61331962
29/02/2020,153.92,98,79,97.31505114
01/03/2020,109.26,109,124,80.03548411
02/03/2020,103.64,102,115,97.08369292
03/03/2020,114.68,99,103,102.8242687
04/03/2020,114.25,97,93,99.00685812
05/03/2020,106.5,91,79,98.29832357
06/03/2020,142.09,101,114,106.3958613
07/03/2020,167.1,98,94,92.97708452
08/03/2020,96.86,99,98,77.31702503
09/03/2020,97.5,97,103,91.50217587
10/03/2020,105.54,94,97,95.31958649
11/03/2020,106.91,94,109,97.93682635
12/03/2020,98.87,92,97,96.70773581
13/03/2020,104.19,87,96,95.42080571
14/03/2020,117.44,80,83,80.59941977
15/03/2020,64.28,76,79,61.68588531
16/03/2020,64.53,86,126,82.62380419
17/03/2020,48.95,72,92,74.26598851
18/03/2020,43.31,67,93,67.97593691
19/03/2020,38.76,64,72,62.84267641
20/03/2020,37.49,54,78,58.56254935
21/03/2020,37.36,38,77,42.33855419
22/03/2020,30.76,33,94,38.81034135
23/03/2020,31.25,41,95,46.1848846
24/03/2020,24.63,24,81,38.9983199
25/03/2020,24.09,21,83,35.94728338
26/03/2020,22.89,20,80,35.9183636
27/03/2020,23.4,19,70,35.58578616
28/03/2020,23.4,15,43,26.60619526
29/03/2020,17.83,13,41,19.04367345
30/03/2020,19.72,21,59,26.57727548
31/03/2020,22.29,21,70,28.90531757
01/04/2020,22.19,19,68,27.87866547
02/04/2020,22.76,19,72,28.0955638
03/04/2020,24.34,19,73,29.35357412
04/04/2020,28.49,16,70,24.7553295
05/04/2020,26.06,16,85,22.45620719
06/04/2020,21.63,22,76,27.89312536
07/04/2020,24.64,21,91,27.51716825
08/04/2020,23.87,20,81,27.95096491
09/04/2020,26.13,22,90,29.93196967
10/04/2020,28.59,17,87,25.56508327
11/04/2020,28.58,16,66,26.96769248
12/04/2020,22.86,11,75,18.5954169
13/04/2020,22.8,17,80,20.15708489
