Museum,City,Visitors in 2022,Change from 2021,Change from 2019
Musée du Louvre,:fr: Paris,7726321,173%,-20%
Vatican Museums,:it: Vatican City,5080866,215%,-26%
British Museum,:gb: London,4097253,209%,-34%
Tate Modern,:gb: London,3883160,236%,-36%
National Museum of Korea,:kr: Seoul,3411381,170%,2%
Musée d'Orsay,:fr: Paris,3270182,213%,-10%
National Gallery of Art,":us: Washington, D.C.",3256433,91%,-20%
Metropolitan Museum of Art †,:us: New York City,3208832,64%,-34%*
Centre Pompidou,:fr: Paris,3009570,100%,-8%
State Hermitage Museum,:ru: St Petersburg,2812913,71%,-43%
National Gallery,:gb: London,2727119,285%,-55%
State Russian Museum,:ru: St Petersburg,2651688,17%,11%
Museo Nacional del Prado,:es: Madrid,2456724,109%,-30%
Victoria and Albert Museum,:gb: London,2370261,176%,-40%
Somerset House,:gb: London,2346580,138%,-17%
Galleria degli Uffizi,:it: Florence,2222692,129%,-6%
Museum of Modern Art (MoMA),:us: New York City,2190440,89%,10%
M+,:hk: Hong Kong,2034331,448%,opened 2021
National Museum of Scotland,:gb: Edinburgh,1973751,199%,-11%
State Tretyakov Gallery,:ru: Moscow,1910000,21%,-33%
MMCA Seoul,:kr: Seoul,1806641,93%,27%
 Wawel Royal Castle,:pl: Kraków,1791000,no data,no data
Rijksmuseum,:nl: Amsterdam,1766084,183%,-35%
Royal Castle,:pl: Warsaw,1755267,50%,40%
NGV International †,:au: Melbourne,1580303,97%,-35%
Tokyo Metropolitan Art Museum,:jp: Tokyo,1509970,44%,-47%
Humboldt Forum,:de: Berlin,1500000,191%,opened 2021
Acropolis Museum,:gr: Athens,1451727,165%,-18%
Galleria dell'Accademia,:it: Florence,1428369,220%,-16%
National Art Center Tokyo,:jp: Tokyo,1400096,59%,-27%
Fondation Louis Vuitton,:fr: Paris,1398525,102%,31%
Tokyo National Museum,:jp: Tokyo,1372132,127%,-49%
National Museum,:pl: Krakow,1365425,101%,14%
Centro Cultural Banco do Brasil,:br: Rio de Janeiro,1364208,471%,-48%
Van Gogh Museum,:nl: Amsterdam,1364023,272%,-35%
Kunsthistorisches Museum,:at: Vienna,1345617,132%,-27%
Palacio de Cristal (Reina Sofia) †,:es: Madrid,1318823,**,**
Guggenheim Museum Bilbao,:es: Bilbao,1289147,143%,10%
Scottish National Gallery †,:gb: Edinburgh,1277230,322%,-19%
National Gallery Singapore,:sg: Singapore,1262189,69%,-31%
Reina Sofia (main site) †,:es: Madrid,1253183,**,**
mucem,:fr: Marseille,1251030,55%,4%
State Pushkin Museum of Fine Arts,:ru: Moscow,1225397,60%,-17%
Gyeongju National Museum,:kr: Gyeongju,1121949,72%,-10%
Palazzo Ducale,:it: Venice,1118443,no data,no data
National Museum of African American History and Culture,":us: Washington, D.C.",1092552,178%,-45%
Petit Palais,:fr: Paris,1085517,110%,14%
Museo Nacional Thyssen-Bornemisza,:es: Madrid,1073183,60%,4%
Tel Aviv Museum of Art,:il: Tel Aviv,1070714,124%,-19%
The Huntington,:sm: San Marino,1041881,no data,26%
Art Institute of Chicago,:us: Chicago,1037158,20%,-38%
Art Gallery of New South Wales,:au: Sydney,1021983,138%,-21%
Musée de l'Orangerie,:fr: Paris,1013265,167%,-2%
Musée du Quai Branly,:fr: Paris,1005357,63%,-10%
Getty Center †,:us: Los Angeles,989302,95%,-31%
Kelvingrove Art Gallery and Museum,:gb: Glasgow,971412,237%,-47%
National Portrait Gallery / Smithsonian American Art Museum † ***,":us: Washington, D.C.",953653,189%,-44%
Tate Britain,:gb: London,913395,74%,-49%
"Museum of Fine Arts, Houston",:us: Houston,903443,82%,-28%
Musée des Arts Décoratifs,:fr: Paris,901593,130%,no data
Museo Egizio,:it: Turin,898500,126%,5%
Upper Belvedere †,:at: Vienna,879640,168%,-30%
Los Angeles County Museum of Art (Lacma),:us: Los Angeles,867322,40%,-10%
Museum of New Zealand Te Papa Tongarewa,:nz: Wellington,863129,7%,-44%
Moscow Kremlin Museums,:ru: Moscow,861341,49%,-72%
Munchmuseet,:no: Oslo,851623,323%,opened 2021
Whitney Museum of American Art,:us: New York City,838721,70%,-19%
de Young Museum †,:us: San Francisco,797444,102%,-25%
Royal Ontario Museum (ROM),:ca: Toronto,796579,no data,-39%
Museu Picasso,:es: Barcelona,794806,167%,-26%
Nasjonalmuseet,:no: Oslo,794533,opened 2022,
National Gallery of Ireland,:ie: Dublin,788650,212%,4%
Contemporary Art Center Winzavod,:ru: Moscow,780000,no data,no data
National Museum of Western Art,:jp: Tokyo,776814,closed,-51%
Solomon R. Guggenheim Museum,:us: New York City,750000,152%,-42%
Museum of Fine Arts,:hu: Budapest,746972,346%,47%
Albertina,:at: Vienna,743015,103%,-26%
Ashmolean Museum,:gb: Oxford,728006,243%,-21%
"Museum of Fine Arts (MFA), Boston",:us: Boston,709019,49%,-44%
Royal Academy of Arts,:gb: London,696000,48%,-44%
CaixaForum Madrid,:es: Madrid,695797,127%,-3%
Hong Kong Palace Museum,:hk: Hong Kong,695000, opened 2022,
Frederik Meijer Gardens & Sculpture Park,:us: Grand Rapids,694799,26%,3%
Imperial War Museum,:gb: London,684909,114%,-36%
Museum of Contemporary Art Australia,:au: Sydney,677546,180%,-33%
CaixaForum València,:es: València,670655,no data,no data
Triennale Milano,:it: Milan,661234,50%,no data
Denver Art Museum,:us: Denver,656342,no data,-34%
MMCA Gwacheon,:kr: Gwacheon,653842,128%,1%
Musées Royaux des Beaux-Arts de Belgique,:be: Brussels,652249,115%,-40%
Palazzo Pitti,:it: Florence,650612,172%,-16%
Bourse de Commerce-Pinault Collection,:fr: Paris,650000,28%,opened 2021
Fondation Claude Monet,:fr: Giverny,645460,155%,no data
Museo Picasso Malaga,:es: Malaga,641216,152%,-9%
The Broad,:us: Los Angeles,638326,226%,-30%
ARoS Aarhus Kunstmuseum,:dk: Aarhus,629679,57%,-12%
Pergamonmuseum,:de: Berlin,622959,240%,-23%
Louvre Abu Dhabi,:ae: Abu Dhabi,622399, 130%,-36%
Museu Coleção Berardo,:pt: Lisbon,617684,116%,-42%
Louisiana Museum of Modern Art,:dk: Humlebaek,612992,83%,-19%
