villeLabel;population;latitude;longitude
Marseille;873076;43.296666666;5.376388888
Nice;348085;43.701944444;7.268333333
Montpellier;302454;43.610919444;3.877230555
Toulon;180452;43.125;5.930555555
Aix-en-Provence;147478;43.527777777;5.445555555
Perpignan;119656;42.6975;2.894722222
Béziers;80341;43.343333333;3.216111111
Antibes;75130;43.58;7.123055555
Ajaccio;73822;41.925555555;8.736388888
Cannes;73255;43.5525;7.021388888
La Seyne-sur-Mer;62763;43.103055555;5.878333333
Fréjus;57082;43.433055555;6.735555555
Narbonne;56395;43.184722222;3.003611111
Hyères;55103;43.118888888;6.128611111
Cagnes-sur-Mer;52580;43.663611111;7.148333333
Arles;50415;43.676944444;4.628611111
Bastia;48768;42.7;9.449444444
Martigues;48568;43.405277777;5.0475
Grasse;48323;43.658055555;6.925277777
Aubagne;47342;43.290833333;5.570833333
Carcassonne;46218;43.215833333;2.351388888
Salon-de-Provence;44731;43.640555555;5.097222222
Sète;44712;43.404444444;3.696666666
Istres;44577;43.514166666;4.988888888
Alès;43892;44.127222222;4.080833333
Le Cannet;41597;43.576111111;7.018611111
Draguignan;39745;43.539444444;6.466111111
La Ciotat;36987;43.176111111;5.608055555
Six-Fours-les-Plages;36203;43.093333333;5.839444444
Saint-Raphaël;35950;43.424722222;6.767777777
Vitrolles;35532;43.448055555;5.249722222
Marignane;33003;43.416944444;5.214722222
Saint-Laurent-du-Var;30941;43.673333333;7.19
Menton;30412;43.774722222;7.499722222
Agde;29103;43.31;3.475277777
Vallauris;28025;43.579722222;7.053333333
Miramas;26405;43.581388888;5.001388888
Lunel;26185;43.676944444;4.135277777
La Garde;25912;43.124722222;6.010555555
Castelnau-le-Lez;24888;43.636111111;3.901388888
La Valette-du-Var;23955;43.137222222;5.9825
Frontignan;23808;43.447222222;3.755555555
Les Pennes-Mirabeau;22161;43.41;5.309444444
Mandelieu-la-Napoule;21561;43.545555555;6.9375
Allauch;21490;43.336111111;5.482222222
Gardanne;21174;43.454444444;5.476111111
Mougins;19677;43.6;6.994722222
Vence;19415;43.722465555;7.111862222
La Crau;19179;43.149722222;6.074166666
Bagnols-sur-Cèze;18248;44.1625;4.62
Châteauneuf-les-Martigues;17909;43.383055555;5.164166666
Brignoles;17664;43.405833333;6.061666666
Saint-Maximin-la-Sainte-Baume;17631;43.453333333;5.861944444
Lattes;17544;43.567752777;3.902055555
Sanary-sur-Mer;17268;43.119166666;5.802222222
Villeneuve-Loubet;16779;43.658055555;7.121388888
Châteaurenard;16669;43.8825;4.855
Mauguio;16596;43.616388888;4.0075
Port-de-Bouc;16136;43.405;4.988611111
Beaucaire;15680;43.807222222;4.643333333
Fos-sur-Mer;15469;43.454444444;4.943611111
Tarascon;15423;43.805;4.659444444
Bouc-Bel-Air;15248;43.454444444;5.414444444
Roquebrune-sur-Argens;14448;43.443333333;6.637777777
Sainte-Maxime;14433;43.308888888;6.637777777
Saint-Gilles;14264;43.677777777;4.431111111
Ollioules;14011;43.139444444;5.846944444
Berre-l'Étang;13912;43.475555555;5.168055555
Saint-Martin-de-Crau;13729;43.639722222;4.8125
Carros;13277;43.7725;7.193333333
Auriol;12839;43.369444444;5.631388888
Juvignac;12783;43.613055555;3.809722222
Valbonne;12754;43.641388888;7.008888888
Beausoleil;12674;43.741944444;7.423611111
Mèze;12664;43.426666666;3.605277777
Villeneuve-lès-Avignon;12617;43.966388888;4.795833333
Canet-en-Roussillon;12598;42.705555555;3.007222222
Vidauban;12573;43.427222222;6.431944444
Saint-Jean-de-Védas;12570;43.576388888;3.823888888
Cuers;12550;43.2375;6.070833333
Castelnaudary;12448;43.318055555;1.953888888
Roquebrune-Cap-Martin;12371;43.757222222;7.474166666
Rognac;12175;43.487777777;5.232222222
Saint-Cyr-sur-Mer;12103;43.183611111;5.708611111
Solliès-Pont;12080;43.19;6.041111111
Vauvert;11774;43.693333333;4.276111111
Cogolin;11762;43.2525;6.53
Septèmes-les-Vallons;11734;43.398333333;5.365833333
Saint-Estève;11550;42.713333333;2.841944444
La Londe-les-Maures;11442;43.138055555;6.234444444
Saint-Cyprien;11398;42.618055555;3.006388888
Plan-de-Cuques;11396;43.346944444;5.463055555
Porto-Vecchio;11229;41.590833333;9.279722222
Le Luc;11053;43.394722222;6.312777777
Lézignan-Corbières;10952;43.200555555;2.757777777
Argelès-sur-Mer;10792;42.546111111;3.023888888
Pia;10733;42.744722222;2.920833333
Le Pradet;10728;43.105555555;6.023333333
Trets;10678;43.446944444;5.685833333
Pont-Saint-Esprit;10600;44.256388888;4.648333333
Pélissanne;10554;43.631388888;5.150555555
Saint-Gély-du-Fesc;10537;43.692222222;3.806111111
Mouans-Sartoux;10531;43.62;6.971944444
Villeneuve-lès-Maguelone;10405;43.532222222;3.860833333
Cabestany;10338;42.680555555;2.942777777
Limoux;10302;43.056944444;2.218611111
La Trinité;10276;43.740833333;7.314166666
Fuveau;10115;43.452222222;5.561666666
Gignac-la-Nerthe;10083;43.39319;5.235583
Cabriès;10070;43.441111111;5.379722222
Saint-Laurent-de-la-Salanque;10010;42.773611111;2.990833333
Le Beausset;10007;43.198333333;5.802777777
Lambesc;9991;43.653888888;5.261944444
Biot;9880;43.628611111;7.095555555
Borgo;9678;42.553888888;9.4275
