itemLabel;population;latitude;longitude
Bangkok;5676648;13.75;100.516666666
Chiang Mai;1198000;18.788888888;98.983333333
Phrae;437350;18.145;100.140555555
Chiang Mai;354000;18.788888888;98.983333333
Nonthaburi;255671;13.866666666;100.516666666
Sai Mai;194511;13.919166666;100.645833333
Bang Khae;193303;13.696111111;100.409444444
Bang Khen;190659;13.873888888;100.596388888
Pak Kret;184501;13.9125;100.497777777
Khlong Sam Wa;178958;13.859722222;100.704166666
Bang Khun Thian;173144;13.660833333;100.435833333
Donmuang;170791;13.913611111;100.589722222
Lat Krabang;168309;13.723333333;100.784166666
Prawet;166364;13.716944444;100.694444444
Nong Chok;162598;13.855555555;100.8625
Hat Yai;159130;7.016666666;100.466666666
Chom Thong;156030;13.677222222;100.484722222
Chatuchak;155297;13.828611111;100.559722222
Nong Khaem;153175;13.704722222;100.348888888
Bang Kapi;148964;13.765833333;100.647777777
Bueng Kum;140817;13.785277777;100.669166666
Min Buri;139771;13.813888888;100.748055555
Nakhon Ratchasima;134440;14.973611;102.083056
Q13025343;133000;13.1244;100.9997
Surat Thani;130703;9.139722222;99.330555555
Oudon-Thani;130274;17.4253;102.7902
Phasi Charoen;129238;13.714722222;100.437222222
Bang Sue;128995;13.809722222;100.537222222
Din Daeng;127260;13.769722222;100.552777777
Thung Khru;123700;13.628888888;100.51
Suan Luang;123609;13.721222222;100.629638888
Q15106517;120058;13.5441;100.6175
Pattaya;119532;12.949565;100.893004
Lat Phrao;117108;13.803611111;100.6075
Khonkèn;115928;16.4297;102.8297
Khonkèn;115928;16.433333333;102.833333333
Q2305621;115330;13.725;100.485833333
Wang Thonglang;114245;13.764222222;100.605611111
Lak Si;107797;13.8875;100.578888888
Khlong Toei;107221;13.708055555;100.583888888
Nakhon Si Thammarat;106322;8.436256717;99.962971228
Taling Chan;105857;13.776944444;100.456666666
Dusit;104394;13.776944444;100.520555555
Bang Bon;104366;13.663888888;100.408888888
Bangkok Noi;103791;13.762777777;100.478055555
Q13025226;102291;13.6138;100.6104
Bang Phlat;96787;13.793888888;100.505
Saphan Sung;96092;13.77;100.684722222
Khan Na Yao;92094;13.825833333;100.679444444
Bang Na;88535;13.667222222;100.641944444
Phra Khanong;87856;13.702222222;100.601666666
Nakhon Sawan;86439;15.713333333;100.135277777
Bang Kho Laem;82733;13.693333333;100.5025
Watthana;81623;13.742222222;100.585833333
Huai Khwang;80002;13.776666666;100.579444444
Q14230710;79319;13.987034;100.609485
Ubon Ratchathani;79023;15.228055555;104.859444444
Nakhon Pathom;78780;13.819444;100.058056
Thawi Watthana;78749;13.788611111;100.334166666
Rat Burana;78687;13.682222222;100.505555555
Laem Chabang;77798;13.086;100.9247
Phuket;77610;7.888055555;98.3975
Q13025379;76658;13.643935;100.577968
Yan Nawa;76564;13.696944444;100.543055555
Khet Sathon;75735;13.709453;100.526103
Khlong San;75224;13.730277777;100.509722222
Lat Luang;73898;13.629839;100.533049
Ratchathewi;73790;13.758888888;100.534444444
Q13025361;72774;14.0894;100.6237
Phaya Thai;72203;13.78;100.542777777
Q3809214;71932;12.72499258;101.126427517
Phitsanulok;70871;16.815833333;100.263611111
Chiang Rai;70610;19.909444444;99.8275
Q13025398;70594;12.922695;100.937539
Nong Samet;70000;13.831944444;102.733333333
Q13025347;68994;9.515723194;99.943557694
Q13025370;66092;13.3616;100.9795
Lat Sawai;65906;13.96677;100.690303
Bangkok Yai;63861;13.722777777;100.476388888
Songkhla;63834;7.206111111;100.596666666
Q13025394;63271;13.9726;100.6506
Rayong;61902;12.674166666;101.278888888
Saraburi;61750;14.528611111;100.911388888
Yala;61250;6.539722222;101.281111111
Q3809214;60928;12.72499258;101.126427517
Trang;60591;7.556111111;99.611388888
Q13025401;60412;18.2918;99.5047
Samut Sakhon;60103;13.548611111;100.2775
Q72922470;59478;13.6371;100.6636
Hua Hin;59369;12.568611;99.957778
Thanyaburi;58838;14.0167;100.75
Q72922470;56949;13.6371;100.6636
Q11980574;56128;14.064901;100.644692
Amphawa;56103;13.425;99.956666666
Phra Nakhon;55373;13.764444444;100.499166666
Lampang;55044;18.3;99.5
Prachuap Khiri Khan;54018;11.808886877;99.797960174
Sakhon Nakhon;53618;17.156388888;104.145555555
Ayutthaya;52940;14.359359083;100.5761452
Maha Sarakham;52866;16.177222222;103.300833333
Q17155186;52641;16.47483333;102.84891667
Q13025345;52457;13.7001;100.3241
Q15904499;51932;13.9424;100.3913
Pathum Wan;51557;13.736666666;100.523333333
Samut Prakan;51309;13.6004;100.5964
Bang Bua Thong;50141;13.9099;100.4263
