state,stateLabel,population
http://www.wikidata.org/entity/Q99,California,39538223
http://www.wikidata.org/entity/Q1439,Texas,29145505
http://www.wikidata.org/entity/Q812,Florida,21538187
http://www.wikidata.org/entity/Q1384,New York,20201249
http://www.wikidata.org/entity/Q1400,Pennsylvania,13002700
http://www.wikidata.org/entity/Q1204,Illinois,12812508
http://www.wikidata.org/entity/Q1397,Ohio,11799448
http://www.wikidata.org/entity/Q1428,Georgia,10711908
http://www.wikidata.org/entity/Q1454,North Carolina,10439388
http://www.wikidata.org/entity/Q1166,Michigan,10077331
http://www.wikidata.org/entity/Q1408,New Jersey,9288994
http://www.wikidata.org/entity/Q1370,Virginia,8631393
http://www.wikidata.org/entity/Q1223,Washington,7705281
http://www.wikidata.org/entity/Q816,Arizona,7151502
http://www.wikidata.org/entity/Q771,Massachusetts,7029917
http://www.wikidata.org/entity/Q1509,Tennessee,6910840
http://www.wikidata.org/entity/Q1415,Indiana,6785528
http://www.wikidata.org/entity/Q1391,Maryland,6177224
http://www.wikidata.org/entity/Q1581,Missouri,6154913
http://www.wikidata.org/entity/Q1537,Wisconsin,5893718
http://www.wikidata.org/entity/Q1261,Colorado,5773714
http://www.wikidata.org/entity/Q1527,Minnesota,5706494
http://www.wikidata.org/entity/Q1456,South Carolina,5118425
http://www.wikidata.org/entity/Q173,Alabama,5024279
http://www.wikidata.org/entity/Q1588,Louisiana,4657757
http://www.wikidata.org/entity/Q1603,Kentucky,4505836
http://www.wikidata.org/entity/Q824,Oregon,4237256
http://www.wikidata.org/entity/Q1649,Oklahoma,3959353
http://www.wikidata.org/entity/Q779,Connecticut,3605944
http://www.wikidata.org/entity/Q829,Utah,3271616
http://www.wikidata.org/entity/Q1546,Iowa,3190369
http://www.wikidata.org/entity/Q1227,Nevada,3104614
http://www.wikidata.org/entity/Q1612,Arkansas,3011524
http://www.wikidata.org/entity/Q1494,Mississippi,2961279
http://www.wikidata.org/entity/Q1558,Kansas,2937880
http://www.wikidata.org/entity/Q1522,New Mexico,2117522
http://www.wikidata.org/entity/Q1553,Nebraska,1961504
http://www.wikidata.org/entity/Q1221,Idaho,1839106
http://www.wikidata.org/entity/Q1371,West Virginia,1793716
http://www.wikidata.org/entity/Q782,Hawaii,1455271
http://www.wikidata.org/entity/Q759,New Hampshire,1377529
http://www.wikidata.org/entity/Q724,Maine,1362359
http://www.wikidata.org/entity/Q1387,Rhode Island,1097379
http://www.wikidata.org/entity/Q1212,Montana,1084225
http://www.wikidata.org/entity/Q1393,Delaware,989948
http://www.wikidata.org/entity/Q1211,South Dakota,886667
http://www.wikidata.org/entity/Q1207,North Dakota,779094
http://www.wikidata.org/entity/Q797,Alaska,733391
http://www.wikidata.org/entity/Q16551,Vermont,643077
http://www.wikidata.org/entity/Q1214,Wyoming,576851
