state,stateLabel,superficie
http://www.wikidata.org/entity/Q797,Alaska,1717856
http://www.wikidata.org/entity/Q1439,Texas,696241
http://www.wikidata.org/entity/Q99,Californie,423970
http://www.wikidata.org/entity/Q1212,Montana,381154
http://www.wikidata.org/entity/Q1522,Nouveau-Mexique,315194
http://www.wikidata.org/entity/Q816,Arizona,295234
http://www.wikidata.org/entity/Q1227,Nevada,286380
http://www.wikidata.org/entity/Q1261,Colorado,269837
http://www.wikidata.org/entity/Q824,Oregon,255026
http://www.wikidata.org/entity/Q1214,Wyoming,253348
http://www.wikidata.org/entity/Q1166,Michigan,250493
http://www.wikidata.org/entity/Q1527,Minnesota,225163
http://www.wikidata.org/entity/Q829,Utah,219653
http://www.wikidata.org/entity/Q1221,Idaho,216699
http://www.wikidata.org/entity/Q1558,Kansas,213100
http://www.wikidata.org/entity/Q1553,Nebraska,200520
http://www.wikidata.org/entity/Q1211,Dakota du Sud,199729
http://www.wikidata.org/entity/Q1223,Washington,184827
http://www.wikidata.org/entity/Q1207,Dakota du Nord,183108
http://www.wikidata.org/entity/Q1581,Missouri,181533
http://www.wikidata.org/entity/Q1649,Oklahoma,181195
http://www.wikidata.org/entity/Q812,Floride,170304
http://www.wikidata.org/entity/Q1537,Wisconsin,169640
http://www.wikidata.org/entity/Q1428,Géorgie,153909
http://www.wikidata.org/entity/Q1204,Illinois,149998
http://www.wikidata.org/entity/Q1546,Iowa,145746
http://www.wikidata.org/entity/Q1384,New York,141300
http://www.wikidata.org/entity/Q1454,Caroline du Nord,139390
http://www.wikidata.org/entity/Q1612,Arkansas,137733
http://www.wikidata.org/entity/Q173,Alabama,135765
http://www.wikidata.org/entity/Q1588,Louisiane,135382
http://www.wikidata.org/entity/Q1494,Mississippi,125443
http://www.wikidata.org/entity/Q1400,Pennsylvanie,119283
http://www.wikidata.org/entity/Q1397,Ohio,116096
http://www.wikidata.org/entity/Q1370,Virginie,110862
http://www.wikidata.org/entity/Q1509,Tennessee,109247
http://www.wikidata.org/entity/Q1603,Kentucky,104659
http://www.wikidata.org/entity/Q1415,Indiana,94321
http://www.wikidata.org/entity/Q724,Maine,91646
http://www.wikidata.org/entity/Q1456,Caroline du Sud,82931
http://www.wikidata.org/entity/Q1371,Virginie-Occidentale,62755
http://www.wikidata.org/entity/Q1391,Maryland,32131
http://www.wikidata.org/entity/Q782,Hawaï,28311
http://www.wikidata.org/entity/Q771,Massachusetts,27336
http://www.wikidata.org/entity/Q16551,Vermont,24923
http://www.wikidata.org/entity/Q759,New Hampshire,24214
http://www.wikidata.org/entity/Q1408,New Jersey,22591.4
http://www.wikidata.org/entity/Q779,Connecticut,14357
http://www.wikidata.org/entity/Q1393,Delaware,6452
http://www.wikidata.org/entity/Q1387,Rhode Island,3144.245565
