state,stateLabel,dateOfStatehood
http://www.wikidata.org/entity/Q1393,Delaware,1787-12-07T00:00:00Z
http://www.wikidata.org/entity/Q1400,Pennsylvania,1787-12-12T00:00:00Z
http://www.wikidata.org/entity/Q1408,New Jersey,1787-12-18T00:00:00Z
http://www.wikidata.org/entity/Q1428,Georgia,1788-01-02T00:00:00Z
http://www.wikidata.org/entity/Q779,Connecticut,1788-01-09T00:00:00Z
http://www.wikidata.org/entity/Q771,Massachusetts,1788-02-06T00:00:00Z
http://www.wikidata.org/entity/Q1391,Maryland,1788-04-28T00:00:00Z
http://www.wikidata.org/entity/Q1456,South Carolina,1788-05-23T00:00:00Z
http://www.wikidata.org/entity/Q759,New Hampshire,1788-06-21T00:00:00Z
http://www.wikidata.org/entity/Q1370,Virginia,1788-06-25T00:00:00Z
http://www.wikidata.org/entity/Q1384,New York,1788-07-26T00:00:00Z
http://www.wikidata.org/entity/Q1454,North Carolina,1789-11-21T00:00:00Z
http://www.wikidata.org/entity/Q1387,Rhode Island,1790-05-29T00:00:00Z
http://www.wikidata.org/entity/Q16551,Vermont,1791-03-04T00:00:00Z
http://www.wikidata.org/entity/Q1603,Kentucky,1792-06-01T00:00:00Z
http://www.wikidata.org/entity/Q1509,Tennessee,1796-06-01T00:00:00Z
http://www.wikidata.org/entity/Q1397,Ohio,1803-03-01T00:00:00Z
http://www.wikidata.org/entity/Q1588,Louisiana,1812-04-30T00:00:00Z
http://www.wikidata.org/entity/Q1415,Indiana,1816-12-11T00:00:00Z
http://www.wikidata.org/entity/Q1494,Mississippi,1817-12-10T00:00:00Z
http://www.wikidata.org/entity/Q1204,Illinois,1818-12-03T00:00:00Z
http://www.wikidata.org/entity/Q173,Alabama,1819-12-14T00:00:00Z
http://www.wikidata.org/entity/Q724,Maine,1820-03-15T00:00:00Z
http://www.wikidata.org/entity/Q1581,Missouri,1821-08-10T00:00:00Z
http://www.wikidata.org/entity/Q1612,Arkansas,1836-06-15T00:00:00Z
http://www.wikidata.org/entity/Q1166,Michigan,1837-01-26T00:00:00Z
http://www.wikidata.org/entity/Q812,Florida,1845-03-03T00:00:00Z
http://www.wikidata.org/entity/Q1439,Texas,1845-12-29T00:00:00Z
http://www.wikidata.org/entity/Q1546,Iowa,1846-12-28T00:00:00Z
http://www.wikidata.org/entity/Q1537,Wisconsin,1848-05-29T00:00:00Z
http://www.wikidata.org/entity/Q99,California,1850-09-09T00:00:00Z
http://www.wikidata.org/entity/Q1527,Minnesota,1858-05-11T00:00:00Z
http://www.wikidata.org/entity/Q824,Oregon,1859-02-14T00:00:00Z
http://www.wikidata.org/entity/Q1558,Kansas,1861-01-29T00:00:00Z
http://www.wikidata.org/entity/Q1371,West Virginia,1863-06-20T00:00:00Z
http://www.wikidata.org/entity/Q1227,Nevada,1864-10-31T00:00:00Z
http://www.wikidata.org/entity/Q1553,Nebraska,1867-03-01T00:00:00Z
http://www.wikidata.org/entity/Q1261,Colorado,1876-08-01T00:00:00Z
http://www.wikidata.org/entity/Q1207,North Dakota,1889-11-02T00:00:00Z
http://www.wikidata.org/entity/Q1211,South Dakota,1889-11-02T00:00:00Z
http://www.wikidata.org/entity/Q1212,Montana,1889-11-08T00:00:00Z
http://www.wikidata.org/entity/Q1223,Washington,1889-11-11T00:00:00Z
http://www.wikidata.org/entity/Q1221,Idaho,1890-07-03T00:00:00Z
http://www.wikidata.org/entity/Q1214,Wyoming,1890-07-10T00:00:00Z
http://www.wikidata.org/entity/Q829,Utah,1896-01-04T00:00:00Z
http://www.wikidata.org/entity/Q1649,Oklahoma,1907-11-16T00:00:00Z
http://www.wikidata.org/entity/Q1522,New Mexico,1912-01-06T00:00:00Z
http://www.wikidata.org/entity/Q816,Arizona,1912-02-14T00:00:00Z
http://www.wikidata.org/entity/Q797,Alaska,1959-01-03T00:00:00Z
http://www.wikidata.org/entity/Q782,Hawaii,1959-08-21T00:00:00Z
